Question,OptionA,OptionB,OptionC,OptionD,Answer
What is the NATO phonetic for 'A'?,Alpha,Bravo,Charlie,Delta,Alpha
What is the NATO phonetic for 'B'?,Beta,Bravo,Baker,Boston,Bravo
What is the NATO phonetic for 'C'?,Charlie,California,Cadet,Check,Charlie
What is the NATO phonetic for 'D'?,Dog,Delta,David,Down,Delta
What is the NATO phonetic for 'E'?,Echo,Eagle,Edge,Equal,Echo
What is the NATO phonetic for 'F'?,Foxtrot,Fast,Falcon,Ferry,Foxtrot
What is the NATO phonetic for 'G'?,Golf,George,Gamma,Gate,Golf
What is the NATO phonetic for 'H'?,Hotel,Henry,Hover,Hawk,Hotel
What is the NATO phonetic for 'I'?,Igloo,India,Item,Ice,India
What is the NATO phonetic for 'J'?,Juliet,Jack,Jet,Java,Juliet
What is the NATO phonetic for 'K'?,King,Kilo,Kite,Knight,Kilo
What is the NATO phonetic for 'L'?,Lima,London,Lion,Luke,Lima
What is the NATO phonetic for 'M'?,Mike,Mother,Mouse,Mark,Mike
What is the NATO phonetic for 'N'?,November,Nick,Night,Nine,November
What is the NATO phonetic for 'O'?,Oscar,Odin,Omega,Otis,Oscar
What is the NATO phonetic for 'P'?,Papa,Peter,Pilot,Prime,Papa
What is the NATO phonetic for 'Q'?,Queen,Quebec,Quick,Quest,Quebec
What is the NATO phonetic for 'R'?,Romeo,Raven,Roger,Red,Romeo
What is the NATO phonetic for 'S'?,Sierra,Sam,Snake,Solo,Sierra
What is the NATO phonetic for 'T'?,Tango,Tom,Tank,Tree,Tango
